model,upstream_product,upstream_identifier,upstream_long_name,canonical_candidate_name,category,level_type,level,units,temporal_semantics,step_type,step_range_pattern,accumulation_or_interval_window,required_lead_min,required_lead_max,required_lead_cadence,applicable_at_f000,lead_completeness,member_scope,member_completeness,raw_upstream,directly_ingestible,derived,derivation_dependencies,ingestion_constraints,current_repo_support,current_repo_locations,product_usefulness,tier,evidence_type,evidence_reference,confidence,notes
gfs,pgrb2.0p25,CLMR,NCEP Parameter CLMR,clmr_1_hybrid_level,Atmospheric / Miscellaneous,hybrid,1 hybrid level,unknown,instant,instant,N/A,N/A,0,240,3h,True,81/81 leads (100% on 3h grid),deterministic (single run),complete (deterministic),True,False,False,None,Requires temporal interval handling or de-accumulation,False,None,Low,Tier D (Low Value / Specialized),OBSERVED_EXHAUSTIVE,AWS S3 gfs.20260828/00/atmos/gfs.t00z.pgrb2.0p25.fXXX.idx (2:1005933:d=2026082800:CLMR:1 hybrid level:anl:),HIGH,NCEP parameter
gfs,pgrb2.0p25,GRLE,NCEP Parameter GRLE,grle_1_hybrid_level,Atmospheric / Miscellaneous,hybrid,1 hybrid level,unknown,instant,instant,N/A,N/A,0,240,3h,True,81/81 leads (100% on 3h grid),deterministic (single run),complete (deterministic),True,True,False,None,None,False,None,Low,Tier D (Low Value / Specialized),OBSERVED_EXHAUSTIVE,AWS S3 gfs.20260828/00/atmos/gfs.t00z.pgrb2.0p25.fXXX.idx (6:1673283:d=2026082800:GRLE:1 hybrid level:anl:),HIGH,NCEP parameter
gfs,pgrb2.0p25,ICMR,NCEP Parameter ICMR,icmr_1_hybrid_level,Atmospheric / Miscellaneous,hybrid,1 hybrid level,unknown,instant,instant,N/A,N/A,0,240,3h,True,81/81 leads (100% on 3h grid),deterministic (single run),complete (deterministic),True,True,False,None,None,False,None,Low,Tier D (Low Value / Specialized),OBSERVED_EXHAUSTIVE,AWS S3 gfs.20260828/00/atmos/gfs.t00z.pgrb2.0p25.fXXX.idx (3:1109303:d=2026082800:ICMR:1 hybrid level:anl:),HIGH,NCEP parameter
gfs,pgrb2.0p25,RWMR,NCEP Parameter RWMR,rwmr_1_hybrid_level,Atmospheric / Miscellaneous,hybrid,1 hybrid level,unknown,instant,instant,N/A,N/A,0,240,3h,True,81/81 leads (100% on 3h grid),deterministic (single run),complete (deterministic),True,True,False,None,None,False,None,Low,Tier D (Low Value / Specialized),OBSERVED_EXHAUSTIVE,AWS S3 gfs.20260828/00/atmos/gfs.t00z.pgrb2.0p25.fXXX.idx (4:1313613:d=2026082800:RWMR:1 hybrid level:anl:),HIGH,NCEP parameter
gfs,pgrb2.0p25,SNMR,NCEP Parameter SNMR,snmr_1_hybrid_level,Atmospheric / Miscellaneous,hybrid,1 hybrid level,unknown,instant,instant,N/A,N/A,0,240,3h,True,81/81 leads (100% on 3h grid),deterministic (single run),complete (deterministic),True,True,False,None,None,False,None,Low,Tier D (Low Value / Specialized),OBSERVED_EXHAUSTIVE,AWS S3 gfs.20260828/00/atmos/gfs.t00z.pgrb2.0p25.fXXX.idx (5:1614746:d=2026082800:SNMR:1 hybrid level:anl:),HIGH,NCEP parameter
gfs,pgrb2.0p25,VVEL,NCEP Parameter VVEL,vvel_0_995_sigma_level,Atmospheric / Miscellaneous,sigma,0.995 sigma level,unknown,instant,instant,N/A,N/A,0,240,3h,True,81/81 leads (100% on 3h grid),deterministic (single run),complete (deterministic),True,True,False,None,None,False,None,Low,Tier D (Low Value / Specialized),OBSERVED_EXHAUSTIVE,AWS S3 gfs.20260828/00/atmos/gfs.t00z.pgrb2.0p25.fXXX.idx (676:502668376:d=2026082800:VVEL:0.995 sigma level:anl:),HIGH,NCEP parameter
gfs,pgrb2.0p25,TOZNE,Total Column Ozone,total_ozone_entire_atmosphere_considered_as_a_single_layer,Atmospheric Composition,atmosphere,entire atmosphere (considered as a single layer),Dobson Units,instant,instant,N/A,N/A,0,240,3h,True,81/81 leads (100% on 3h grid),deterministic (single run),complete (deterministic),True,True,False,None,None,False,None,Low,Tier D (Low Value / Specialized),OBSERVED_EXHAUSTIVE,AWS S3 gfs.20260828/00/atmos/gfs.t00z.pgrb2.0p25.fXXX.idx (607:437623802:d=2026082800:TOZNE:entire atmosphere (considered as a single layer):anl:),HIGH,Vertically integrated atmospheric ozone column
gfs,pgrb2.0p25,PWAT,Precipitable Water,precipitable_water,Atmospheric Moisture Column,atmosphere,entire atmosphere (considered as a single layer),kg/m^2,instant,instant,N/A,N/A,0,240,3h,True,81/81 leads (100% on 3h grid),deterministic (single run),complete (deterministic),True,True,False,None,None,False,None,High,Tier A (Strong Raw Candidate),OBSERVED_EXHAUSTIVE,AWS S3 gfs.20260828/00/atmos/gfs.t00z.pgrb2.0p25.fXXX.idx (604:435358646:d=2026082800:PWAT:entire atmosphere (considered as a single layer):anl:),HIGH,Total atmospheric column water vapor depth
gfs,pgrb2.0p25,VIS,Visibility,visibility,Aviation / Surface,surface,surface,m,instant,instant,N/A,N/A,0,240,3h,True,81/81 leads (100% on 3h grid),deterministic (single run),complete (deterministic),True,True,False,None,None,False,None,High,Tier A (Strong Raw Candidate),OBSERVED_EXHAUSTIVE,AWS S3 gfs.20260828/00/atmos/gfs.t00z.pgrb2.0p25.fXXX.idx (10:4339483:d=2026082800:VIS:surface:anl:),HIGH,Horizontal visibility distance at surface
gfs,pgrb2.0p25,ICAHT,Icing/Turbulence Base/Top,icing_height_max_wind,Aviation Hazard,maxWind,max wind,m,instant,instant,N/A,N/A,0,240,3h,True,81/81 leads (100% on 3h grid),deterministic (single run),complete (deterministic),True,True,False,None,None,False,None,Low,Tier D (Low Value / Specialized),OBSERVED_EXHAUSTIVE,AWS S3 gfs.20260828/00/atmos/gfs.t00z.pgrb2.0p25.fXXX.idx (624:453725759:d=2026082800:ICAHT:max wind:anl:),HIGH,Height of critical aviation turbulence or icing layer
