model,upstream_product,upstream_identifier,upstream_long_name,canonical_candidate_name,category,level_type,level,units,temporal_semantics,step_type,step_range_pattern,accumulation_or_interval_window,required_lead_min,required_lead_max,required_lead_cadence,applicable_at_f000,lead_completeness,member_scope,member_completeness,raw_upstream,directly_ingestible,derived,derivation_dependencies,ingestion_constraints,current_repo_support,current_repo_locations,product_usefulness,tier,evidence_type,evidence_reference,confidence,notes
gefs,pgrb2s.0p25,PWAT,Precipitable Water,precipitable_water,Atmospheric Moisture Column,atmosphere,entire atmosphere (considered as a single layer),kg/m^2,instant,instant,N/A,N/A,0,240,3h,True,81/81 leads (100% on 3h grid),"31 members (gec00, gep01..gep30)",100% complete across all 31 members x 81 leads (2511/2511 files),True,True,False,None,None,False,None,High,Tier A (Strong Raw Candidate),OBSERVED_EXHAUSTIVE,AWS S3 gefs.20260828/00/atmos/pgrb2sp25/MEM.t00z.pgrb2s.0p25.fXXX.idx (21:9675144:d=2026082800:PWAT:entire atmosphere (considered as a single layer):anl:ENS=low-res ctl),HIGH,Total atmospheric column water vapor depth (Verified identical in gec00 and gep01..gep30)
gefs,pgrb2s.0p25,VIS,Visibility,visibility,Aviation / Surface,surface,surface,m,instant,instant,N/A,N/A,0,240,3h,True,81/81 leads (100% on 3h grid),"31 members (gec00, gep01..gep30)",100% complete across all 31 members x 81 leads (2511/2511 files),True,True,False,None,None,False,None,High,Tier A (Strong Raw Candidate),OBSERVED_EXHAUSTIVE,AWS S3 gefs.20260828/00/atmos/pgrb2sp25/MEM.t00z.pgrb2s.0p25.fXXX.idx (1:0:d=2026082800:VIS:surface:anl:ENS=low-res ctl),HIGH,Horizontal visibility distance at surface (Verified identical in gec00 and gep01..gep30)
gefs,pgrb2s.0p25,CFRZR,Categorical Freezing Rain,freezing_rain_category,Categorical Precipitation,surface,surface,0/1 flag,average,average,0-6h resetting (GFS) / 3h-6h alternating (GEFS),6h / 3h-6h,0,240,3h,False,"80/81 leads (100% post-analysis, absent at f000 by design)","31 members (gec00, gep01..gep30)",100% complete across all 31 members x 81 leads (2511/2511 files),True,False,False,None,Requires interval handling or de-accumulation,False,None,Medium,Tier C (Categorical / Probability Design),OBSERVED_EXHAUSTIVE,AWS S3 gefs.20260828/00/atmos/pgrb2sp25/MEM.t00z.pgrb2s.0p25.fXXX.idx (21:9131592:d=2026082800:CFRZR:surface:0-3 hour ave fcst:ENS=low-res ctl),HIGH,Categorical binary flag or ensemble probability for freezing rain (Verified identical in gec00 and gep01..gep30)
gefs,pgrb2s.0p25,CICEP,Categorical Ice Pellets,ice_pellets_category,Categorical Precipitation,surface,surface,0/1 flag,average,average,0-6h resetting (GFS) / 3h-6h alternating (GEFS),6h / 3h-6h,0,240,3h,False,"80/81 leads (100% post-analysis, absent at f000 by design)","31 members (gec00, gep01..gep30)",100% complete across all 31 members x 81 leads (2511/2511 files),True,False,False,None,Requires interval handling or de-accumulation,False,None,Medium,Tier C (Categorical / Probability Design),OBSERVED_EXHAUSTIVE,AWS S3 gefs.20260828/00/atmos/pgrb2sp25/MEM.t00z.pgrb2s.0p25.fXXX.idx (20:9131386:d=2026082800:CICEP:surface:0-3 hour ave fcst:ENS=low-res ctl),HIGH,Categorical binary flag or ensemble probability for sleet/ice pellets (Verified identical in gec00 and gep01..gep30)
gefs,pgrb2s.0p25,CRAIN,Categorical Rain,rain_category,Categorical Precipitation,surface,surface,0/1 flag,average,average,0-6h resetting (GFS) / 3h-6h alternating (GEFS),6h / 3h-6h,0,240,3h,False,"80/81 leads (100% post-analysis, absent at f000 by design)","31 members (gec00, gep01..gep30)",100% complete across all 31 members x 81 leads (2511/2511 files),True,False,False,None,Requires interval handling or de-accumulation,False,None,Medium,Tier C (Categorical / Probability Design),OBSERVED_EXHAUSTIVE,AWS S3 gefs.20260828/00/atmos/pgrb2sp25/MEM.t00z.pgrb2s.0p25.fXXX.idx (22:9133524:d=2026082800:CRAIN:surface:0-3 hour ave fcst:ENS=low-res ctl),HIGH,Categorical binary flag or ensemble probability for liquid rain (Verified identical in gec00 and gep01..gep30)
gefs,pgrb2s.0p25,CSNOW,Categorical Snow,snow_category,Categorical Precipitation,surface,surface,0/1 flag,average,average,0-6h resetting (GFS) / 3h-6h alternating (GEFS),6h / 3h-6h,0,240,3h,False,"80/81 leads (100% post-analysis, absent at f000 by design)","31 members (gec00, gep01..gep30)",100% complete across all 31 members x 81 leads (2511/2511 files),True,False,False,None,Requires interval handling or de-accumulation,False,None,Medium,Tier C (Categorical / Probability Design),OBSERVED_EXHAUSTIVE,AWS S3 gefs.20260828/00/atmos/pgrb2sp25/MEM.t00z.pgrb2s.0p25.fXXX.idx (19:9111640:d=2026082800:CSNOW:surface:0-3 hour ave fcst:ENS=low-res ctl),HIGH,Categorical binary flag or ensemble probability for snow (Verified identical in gec00 and gep01..gep30)
gefs,pgrb2s.0p25,TCDC,Total Cloud Cover,cloud_cover_total,Clouds / Radiation,atmosphere,entire atmosphere,%,average,average,0-6h resetting (GFS) / 3h-6h alternating (GEFS),6h / 3h-6h,0,240,3h,False,"80/81 leads (100% post-analysis, absent at f000 by design)","31 members (gec00, gep01..gep30)",100% complete across all 31 members x 81 leads (2511/2511 files),True,False,False,None,Requires interval handling or de-accumulation,False,None,High,Tier A (Strong Raw Candidate),OBSERVED_EXHAUSTIVE,AWS S3 gefs.20260828/00/atmos/pgrb2sp25/MEM.t00z.pgrb2s.0p25.fXXX.idx (28:12134574:d=2026082800:TCDC:entire atmosphere:0-3 hour ave fcst:ENS=low-res ctl),HIGH,Fraction of sky covered by all cloud types (Verified identical in gec00 and gep01..gep30)
gefs,pgrb2s.0p25,CAPE,Convective Available Potential Energy,cape_180_0_mb_above_ground,Convective / Instability,heightAboveGround,180-0 mb above ground,J/kg,instant,instant,N/A,N/A,0,240,3h,True,81/81 leads (100% on 3h grid),"31 members (gec00, gep01..gep30)",100% complete across all 31 members x 81 leads (2511/2511 files),True,False,False,None,Requires interval handling or de-accumulation,False,None,Low,Tier D (Low Value / Specialized),OBSERVED_EXHAUSTIVE,AWS S3 gefs.20260828/00/atmos/pgrb2sp25/MEM.t00z.pgrb2s.0p25.fXXX.idx (24:11218455:d=2026082800:CAPE:180-0 mb above ground:anl:ENS=low-res ctl),HIGH,Buoyant energy available to an air parcel lifted adiabatically (Verified identical in gec00 and gep01..gep30)
gefs,pgrb2s.0p25,CAPE,Convective Available Potential Energy,cape_surface,Convective / Instability,surface,surface,J/kg,instant,instant,N/A,N/A,0,240,3h,True,81/81 leads (100% on 3h grid),"31 members (gec00, gep01..gep30)",100% complete across all 31 members x 81 leads (2511/2511 files),True,False,False,None,Requires interval handling or de-accumulation,False,None,High,Tier A (Strong Raw Candidate),OBSERVED_EXHAUSTIVE,AWS S3 gefs.20260828/00/atmos/pgrb2sp25/MEM.t00z.pgrb2s.0p25.fXXX.idx (19:8857324:d=2026082800:CAPE:surface:anl:ENS=low-res ctl),HIGH,Buoyant energy available to an air parcel lifted adiabatically (Verified identical in gec00 and gep01..gep30)
gefs,pgrb2s.0p25,CIN,Convective Inhibition,cin_180_0_mb_above_ground,Convective / Instability,heightAboveGround,180-0 mb above ground,J/kg,instant,instant,N/A,N/A,0,240,3h,True,81/81 leads (100% on 3h grid),"31 members (gec00, gep01..gep30)",100% complete across all 31 members x 81 leads (2511/2511 files),True,False,False,None,Requires interval handling or de-accumulation,False,None,Low,Tier D (Low Value / Specialized),OBSERVED_EXHAUSTIVE,AWS S3 gefs.20260828/00/atmos/pgrb2sp25/MEM.t00z.pgrb2s.0p25.fXXX.idx (25:11726362:d=2026082800:CIN:180-0 mb above ground:anl:ENS=low-res ctl),HIGH,Energy barrier preventing an air parcel from reaching its LFC (Verified identical in gec00 and gep01..gep30)
